formation_wave_block_id,missing_office_number_candidate,gap_confidence,likely_2025_2026_wave,wave_detection_method,companies_house_search_link,lookup_priority
nan_nan_nan_nan,911,medium,True,office_number_high_range_sequence_inference,https://find-and-update.company-information.service.gov.uk/search?q=Office%20911%2085%20Dunstall%20Hill%20Wolverhampton%20WV6%200SR,55.0
nan_nan_nan_nan,912,medium,True,office_number_high_range_sequence_inference,https://find-and-update.company-information.service.gov.uk/search?q=Office%20912%2085%20Dunstall%20Hill%20Wolverhampton%20WV6%200SR,54.0
nan_nan_nan_nan,913,medium,True,office_number_high_range_sequence_inference,https://find-and-update.company-information.service.gov.uk/search?q=Office%20913%2085%20Dunstall%20Hill%20Wolverhampton%20WV6%200SR,53.0
nan_nan_nan_nan,914,medium,True,office_number_high_range_sequence_inference,https://find-and-update.company-information.service.gov.uk/search?q=Office%20914%2085%20Dunstall%20Hill%20Wolverhampton%20WV6%200SR,52.0
nan_nan_nan_nan,915,medium,True,office_number_high_range_sequence_inference,https://find-and-update.company-information.service.gov.uk/search?q=Office%20915%2085%20Dunstall%20Hill%20Wolverhampton%20WV6%200SR,51.0
nan_nan_nan_nan,916,medium,True,office_number_high_range_sequence_inference,https://find-and-update.company-information.service.gov.uk/search?q=Office%20916%2085%20Dunstall%20Hill%20Wolverhampton%20WV6%200SR,50.0
nan_nan_nan_nan,917,medium,True,office_number_high_range_sequence_inference,https://find-and-update.company-information.service.gov.uk/search?q=Office%20917%2085%20Dunstall%20Hill%20Wolverhampton%20WV6%200SR,49.0
nan_nan_nan_nan,918,medium,True,office_number_high_range_sequence_inference,https://find-and-update.company-information.service.gov.uk/search?q=Office%20918%2085%20Dunstall%20Hill%20Wolverhampton%20WV6%200SR,48.0
nan_nan_nan_nan,919,medium,True,office_number_high_range_sequence_inference,https://find-and-update.company-information.service.gov.uk/search?q=Office%20919%2085%20Dunstall%20Hill%20Wolverhampton%20WV6%200SR,47.0
nan_nan_nan_nan,920,medium,True,office_number_high_range_sequence_inference,https://find-and-update.company-information.service.gov.uk/search?q=Office%20920%2085%20Dunstall%20Hill%20Wolverhampton%20WV6%200SR,46.0
nan_nan_nan_nan,921,medium,True,office_number_high_range_sequence_inference,https://find-and-update.company-information.service.gov.uk/search?q=Office%20921%2085%20Dunstall%20Hill%20Wolverhampton%20WV6%200SR,45.0
nan_nan_nan_nan,922,medium,True,office_number_high_range_sequence_inference,https://find-and-update.company-information.service.gov.uk/search?q=Office%20922%2085%20Dunstall%20Hill%20Wolverhampton%20WV6%200SR,44.0
nan_nan_nan_nan,923,medium,True,office_number_high_range_sequence_inference,https://find-and-update.company-information.service.gov.uk/search?q=Office%20923%2085%20Dunstall%20Hill%20Wolverhampton%20WV6%200SR,43.0
nan_nan_nan_nan,924,medium,True,office_number_high_range_sequence_inference,https://find-and-update.company-information.service.gov.uk/search?q=Office%20924%2085%20Dunstall%20Hill%20Wolverhampton%20WV6%200SR,42.0
nan_nan_nan_nan,925,medium,True,office_number_high_range_sequence_inference,https://find-and-update.company-information.service.gov.uk/search?q=Office%20925%2085%20Dunstall%20Hill%20Wolverhampton%20WV6%200SR,41.0
nan_nan_nan_nan,926,medium,True,office_number_high_range_sequence_inference,https://find-and-update.company-information.service.gov.uk/search?q=Office%20926%2085%20Dunstall%20Hill%20Wolverhampton%20WV6%200SR,40.0
nan_nan_nan_nan,927,medium,True,office_number_high_range_sequence_inference,https://find-and-update.company-information.service.gov.uk/search?q=Office%20927%2085%20Dunstall%20Hill%20Wolverhampton%20WV6%200SR,39.0
