Office No.,Company Name,Company Number,SIC Code,Registered Address,Status,Incorporated,Companies House Search Link,Lookup Priority,Wave Candidate Flag,Wave Detection Method,Confirmation Status,Research Notes
904,,,,"Office 904, 85 Dunstall Hill, Wolverhampton, WV6 0SR",,,https://find-and-update.company-information.service.gov.uk/search?q=Office%20904%2085%20Dunstall%20Hill%20Wolverhampton%20WV6%200SR,62.0,True,office_number_high_range_sequence_inference,pending,
905,,,,"Office 905, 85 Dunstall Hill, Wolverhampton, WV6 0SR",,,https://find-and-update.company-information.service.gov.uk/search?q=Office%20905%2085%20Dunstall%20Hill%20Wolverhampton%20WV6%200SR,61.0,True,office_number_high_range_sequence_inference,pending,
906,,,,"Office 906, 85 Dunstall Hill, Wolverhampton, WV6 0SR",,,https://find-and-update.company-information.service.gov.uk/search?q=Office%20906%2085%20Dunstall%20Hill%20Wolverhampton%20WV6%200SR,60.0,True,office_number_high_range_sequence_inference,pending,
907,,,,"Office 907, 85 Dunstall Hill, Wolverhampton, WV6 0SR",,,https://find-and-update.company-information.service.gov.uk/search?q=Office%20907%2085%20Dunstall%20Hill%20Wolverhampton%20WV6%200SR,59.0,True,office_number_high_range_sequence_inference,pending,
908,,,,"Office 908, 85 Dunstall Hill, Wolverhampton, WV6 0SR",,,https://find-and-update.company-information.service.gov.uk/search?q=Office%20908%2085%20Dunstall%20Hill%20Wolverhampton%20WV6%200SR,58.0,True,office_number_high_range_sequence_inference,pending,
909,,,,"Office 909, 85 Dunstall Hill, Wolverhampton, WV6 0SR",,,https://find-and-update.company-information.service.gov.uk/search?q=Office%20909%2085%20Dunstall%20Hill%20Wolverhampton%20WV6%200SR,57.0,True,office_number_high_range_sequence_inference,pending,
910,,,,"Office 910, 85 Dunstall Hill, Wolverhampton, WV6 0SR",,,https://find-and-update.company-information.service.gov.uk/search?q=Office%20910%2085%20Dunstall%20Hill%20Wolverhampton%20WV6%200SR,56.0,True,office_number_high_range_sequence_inference,pending,
911,,,,"Office 911, 85 Dunstall Hill, Wolverhampton, WV6 0SR",,,https://find-and-update.company-information.service.gov.uk/search?q=Office%20911%2085%20Dunstall%20Hill%20Wolverhampton%20WV6%200SR,55.0,True,office_number_high_range_sequence_inference,pending,
912,,,,"Office 912, 85 Dunstall Hill, Wolverhampton, WV6 0SR",,,https://find-and-update.company-information.service.gov.uk/search?q=Office%20912%2085%20Dunstall%20Hill%20Wolverhampton%20WV6%200SR,54.0,True,office_number_high_range_sequence_inference,pending,
913,,,,"Office 913, 85 Dunstall Hill, Wolverhampton, WV6 0SR",,,https://find-and-update.company-information.service.gov.uk/search?q=Office%20913%2085%20Dunstall%20Hill%20Wolverhampton%20WV6%200SR,53.0,True,office_number_high_range_sequence_inference,pending,
