#,Office No.,Company Name,Company Number,Has Valid Company Number,Incorporated,Status,SIC Code,Registered Address,Address Suffix,Address Exact Street Match,Cash At Bank,Net Assets,Turnover,Investigative Priority,Risk Tier (Objective),Priority Entity,Public Linkage Category,Manual Review Hypothesis (Unverified),Public Evidence Summary,Public Evidence URLs,Review Notes,Companies House Overview URL,Companies House Officers URL,Companies House Filing History URL,Primary OSINT Source,Source,Notes,Office Group Size,Company Number Inference Method,Company Number Confidence,sic_wave_cluster_id,sic_wave_cluster_size,sic_wave_recovery_candidate,formation_sequence_cluster_id,formation_sequence_cluster_size,formation_sequence_recovery_candidate,logistics_api_flag,carrier_api_capability_score,evidence_basis_shipping_layer,shipping_role_category,confidence_level_shipping_layer,Office No Clean,address_cluster_signal,delta_candidate_flag,infrastructure_layer,confidence_level,risk_it_services,risk_seo_agency,risk_logistics_shell,risk_ecommerce_operator,risk_formation_intermediary,risk_payment_linked,risk_telecom_sim_node,risk_shipping_label_node,risk_carrier_account_broker,risk_score_total,risk_level
217.0,255,Backlink Huber Ltd,15186093,Yes,2023-10-04,Active,63990,"Office 255, 85 Dunstall Hill, Wolverhampton, WV6 0SR, England",England,Yes,£1,£1,,LOW,LOW,,,,,,Direct Companies House verification possible from URL fields,https://find-and-update.company-information.service.gov.uk/company/15186093,https://find-and-update.company-information.service.gov.uk/company/15186093/officers,https://find-and-update.company-information.service.gov.uk/company/15186093/filing-history,Companies House URL ready + open.endole.co.uk,opengovuk,,,none,original_or_unresolved,168.0,2.0,False,25.0,8.0,False,False,0.0,no_indicator,none_detected,LOW,255.0,WV6_0SR_high_density_registration_node,True,formation_wave_gap_or_recent_registration_candidate,medium_inference,False,False,False,False,False,False,False,False,False,0.0,NONE
237.0,277,Backylinks Ltd,16078166,Yes,2024-11-13,Active,"62020, 62090, 73110","Office 277, 85 Dunstall Hill, Wolverhampton, WV6 0SR, England",England,Yes,,,,LOW,LOW,,,,,,Direct Companies House verification possible from URL fields,https://find-and-update.company-information.service.gov.uk/company/16078166,https://find-and-update.company-information.service.gov.uk/company/16078166/officers,https://find-and-update.company-information.service.gov.uk/company/16078166/filing-history,Companies House URL ready + open.endole.co.uk,opengovuk,,,none,original_or_unresolved,149.0,90.0,False,27.0,11.0,False,False,0.0,no_indicator,none_detected,LOW,277.0,WV6_0SR_high_density_registration_node,True,formation_wave_gap_or_recent_registration_candidate,medium_inference,False,False,False,False,False,False,False,False,False,0.0,NONE
793.0,834,Badar Communication Ltd,—,No,,Active,,"Office 834, 85 Dunstall Hill, Wolverhampton, WV6 0SR, England",England,Yes,-,-,-,HIGH,HIGH,,,,,,No valid Companies House number in source row; Address suffix variant: United Kingdom,,,,open.endole.co.uk (no valid company number present),OSINT file,OSINT-listed; Companies House number not yet resolved.,,none,original_or_unresolved,,,False,83.0,10.0,True,False,0.0,no_indicator,none_detected,LOW,834.0,WV6_0SR_high_density_registration_node,True,formation_wave_gap_or_recent_registration_candidate,medium_inference,False,False,False,False,False,False,False,False,False,0.0,NONE
430.0,467,Bagsmania Ltd,16716626,Yes,2025-09-15,Active,47910,"Office 467, 85 Dunstall Hill, Wolverhampton, WV6 0SR, England",England,Yes,,,,LOW,LOW,,,,,,Direct Companies House verification possible from URL fields,https://find-and-update.company-information.service.gov.uk/company/16716626,https://find-and-update.company-information.service.gov.uk/company/16716626/officers,https://find-and-update.company-information.service.gov.uk/company/16716626/filing-history,Companies House URL ready + open.endole.co.uk,opengovuk,,,none,original_or_unresolved,85.0,97.0,False,46.0,9.0,False,False,0.0,no_indicator,none_detected,LOW,467.0,WV6_0SR_high_density_registration_node,True,formation_wave_gap_or_recent_registration_candidate,medium_inference,False,False,False,False,False,False,False,False,False,0.0,NONE
829.0,873,Bareera Accessories Ltd,—,No,,Active,,"Office 873, 85 Dunstall Hill, Wolverhampton, WV6 0SR, England",England,Yes,-,-,-,HIGH,HIGH,,,,,,No valid Companies House number in source row,,,,open.endole.co.uk (no valid company number present),OSINT file,OSINT-listed; Companies House number not yet resolved.,,none,original_or_unresolved,,,False,87.0,8.0,True,False,0.0,no_indicator,none_detected,LOW,873.0,WV6_0SR_high_density_registration_node,True,formation_wave_gap_or_recent_registration_candidate,medium_inference,False,False,False,False,False,False,False,False,False,0.0,NONE
672.0,718,Bargain Deals Direct 24/7 Ltd,16772110,Yes,2025-10-08,Active,47910,"Office 718, 85 Dunstall Hill, Wolverhampton, WV6 0SR, England",England,Yes,,,,LOW,LOW,,,,,,Direct Companies House verification possible from URL fields,https://find-and-update.company-information.service.gov.uk/company/16772110,https://find-and-update.company-information.service.gov.uk/company/16772110/officers,https://find-and-update.company-information.service.gov.uk/company/16772110/filing-history,Companies House URL ready + open.endole.co.uk,user-provided,Moved to this office 22 Jan 2026,,none,original_or_unresolved,85.0,97.0,False,71.0,10.0,False,False,0.0,no_indicator,none_detected,LOW,718.0,WV6_0SR_high_density_registration_node,True,formation_wave_gap_or_recent_registration_candidate,medium_inference,False,False,False,False,False,False,False,False,False,0.0,NONE
483.0,520,Baynest Ltd,16804498,Yes,2025-10-23,Active,47910,"Office 520, 85 Dunstall Hill, Wolverhampton, WV6 0SR, England",England,Yes,,,,LOW,LOW,,,,,,Direct Companies House verification possible from URL fields,https://find-and-update.company-information.service.gov.uk/company/16804498,https://find-and-update.company-information.service.gov.uk/company/16804498/officers,https://find-and-update.company-information.service.gov.uk/company/16804498/filing-history,Companies House URL ready + open.endole.co.uk,opengovuk,,,none,original_or_unresolved,85.0,97.0,False,52.0,13.0,False,False,0.0,no_indicator,none_detected,LOW,520.0,WV6_0SR_high_density_registration_node,True,formation_wave_gap_or_recent_registration_candidate,medium_inference,False,False,False,False,False,False,False,False,False,0.0,NONE
76.0,96,Be You Organics Ltd,15547810,Yes,2024-03-08,Active,47990,"Office 96, 85 Dunstall Hill, Wolverhampton, WV6 0SR, England",England,Yes,,,,LOW,LOW,,,,,,Direct Companies House verification possible from URL fields,https://find-and-update.company-information.service.gov.uk/company/15547810,https://find-and-update.company-information.service.gov.uk/company/15547810/officers,https://find-and-update.company-information.service.gov.uk/company/15547810/filing-history,Companies House URL ready + open.endole.co.uk,opengovuk,,,none,original_or_unresolved,108.0,30.0,False,9.0,8.0,False,False,0.0,no_indicator,none_detected,LOW,96.0,WV6_0SR_high_density_registration_node,True,formation_wave_gap_or_recent_registration_candidate,medium_inference,False,False,False,False,False,False,False,False,False,0.0,NONE
171.0,207,Beacon Tutors International Ltd,15907418,Yes,2024-08-20,Active,85600,"Office 207, 85 Dunstall Hill, Wolverhampton, WV6 0SR, England",England,Yes,,,,LOW,LOW,,,,,,Direct Companies House verification possible from URL fields,https://find-and-update.company-information.service.gov.uk/company/15907418,https://find-and-update.company-information.service.gov.uk/company/15907418/officers,https://find-and-update.company-information.service.gov.uk/company/15907418/filing-history,Companies House URL ready + open.endole.co.uk,opengovuk,,,none,original_or_unresolved,199.0,2.0,False,20.0,10.0,False,False,0.0,no_indicator,none_detected,LOW,207.0,WV6_0SR_high_density_registration_node,True,formation_wave_gap_or_recent_registration_candidate,medium_inference,False,False,False,False,False,False,False,False,False,0.0,NONE
455.0,493,Beast Hunger Ltd,16767067,Yes,2025-10-06,Active,"62020, 62090, 73110","Office 493, 85 Dunstall Hill, Wolverhampton, WV6 0SR, England",England,Yes,Bank,Net Assets,Turnover,LOW,LOW,,,,,,Direct Companies House verification possible from URL fields,https://find-and-update.company-information.service.gov.uk/company/16767067,https://find-and-update.company-information.service.gov.uk/company/16767067/officers,https://find-and-update.company-information.service.gov.uk/company/16767067/filing-history,Companies House URL ready + open.endole.co.uk,opengovuk,,,none,original_or_unresolved,149.0,90.0,False,49.0,10.0,False,False,0.0,no_indicator,none_detected,LOW,493.0,WV6_0SR_high_density_registration_node,True,formation_wave_gap_or_recent_registration_candidate,medium_inference,False,False,False,False,False,False,False,False,False,0.0,NONE
363.0,399,Bein Writer Ltd,16488465,Yes,2025-06-02,Active,"62020, 62090, 73110","Office 399, 85 Dunstall Hill, Wolverhampton, WV6 0SR, England",England,Yes,,,,LOW,LOW,,,,,,Direct Companies House verification possible from URL fields,https://find-and-update.company-information.service.gov.uk/company/16488465,https://find-and-update.company-information.service.gov.uk/company/16488465/officers,https://find-and-update.company-information.service.gov.uk/company/16488465/filing-history,Companies House URL ready + open.endole.co.uk,opengovuk,,,none,original_or_unresolved,149.0,90.0,False,39.0,10.0,False,False,0.0,no_indicator,none_detected,LOW,399.0,WV6_0SR_high_density_registration_node,True,formation_wave_gap_or_recent_registration_candidate,medium_inference,False,False,False,False,False,False,False,False,False,0.0,NONE
766.0,810,Bellano Luxe Ltd,—,No,,Active,,"Office 810, 85 Dunstall Hill, Wolverhampton, WV6 0SR, England",England,Yes,-,-,-,HIGH,HIGH,,,,,,No valid Companies House number in source row; Address suffix variant: United Kingdom,,,,open.endole.co.uk (no valid company number present),OSINT file,OSINT-listed; Companies House number not yet resolved.,,none,original_or_unresolved,,,False,81.0,10.0,True,False,0.0,no_indicator,none_detected,LOW,810.0,WV6_0SR_high_density_registration_node,True,formation_wave_gap_or_recent_registration_candidate,medium_inference,False,False,False,False,False,False,False,False,False,0.0,NONE
852.0,899,Bestnovadeals Ltd,—,No,,Active,,"Office 899, 85 Dunstall Hill, Wolverhampton, WV6 0SR, England",England,Yes,-,-,-,HIGH,HIGH,,,,,,No valid Companies House number in source row; Address suffix variant: United Kingdom,,,,open.endole.co.uk (no valid company number present),OSINT file,OSINT-listed; Companies House number not yet resolved.,,none,original_or_unresolved,,,False,89.0,9.0,True,False,0.0,no_indicator,none_detected,LOW,899.0,WV6_0SR_high_density_registration_node,True,formation_wave_gap_or_recent_registration_candidate,medium_inference,False,False,False,False,False,False,False,False,False,0.0,NONE
453.0,491,Beyond Boundaries Seo Agency Ltd,16764714,Yes,2025-10-06,Active,"62020, 62090, 73110","Office 491, 85 Dunstall Hill, Wolverhampton, WV6 0SR, England",England,Yes,,,,LOW,LOW,,,,,,Direct Companies House verification possible from URL fields,https://find-and-update.company-information.service.gov.uk/company/16764714,https://find-and-update.company-information.service.gov.uk/company/16764714/officers,https://find-and-update.company-information.service.gov.uk/company/16764714/filing-history,Companies House URL ready + open.endole.co.uk,opengovuk,,,none,original_or_unresolved,149.0,90.0,False,49.0,10.0,False,False,0.0,no_indicator,none_detected,LOW,491.0,WV6_0SR_high_density_registration_node,True,formation_wave_gap_or_recent_registration_candidate,medium_inference,False,True,False,False,False,False,False,False,False,1.0,LOW
720.0,765,Bgun Sports Ltd,—,No,,Active,,"Office 765, 85 Dunstall Hill, Wolverhampton, WV6 0SR, England",England,Yes,-,-,-,HIGH,HIGH,,,,,,No valid Companies House number in source row; Shared office number: 2 entities; Address suffix variant: United Kingdom,,,,open.endole.co.uk (no valid company number present),OSINT file,OSINT-listed; Companies House number not yet resolved.,,none,original_or_unresolved,,,False,76.0,16.0,True,False,0.0,no_indicator,none_detected,LOW,765.0,WV6_0SR_high_density_registration_node,True,formation_wave_gap_or_recent_registration_candidate,medium_inference,False,False,False,False,False,False,False,False,False,0.0,NONE
55.0,71,Bhawani Corporation Limited,15443979,Yes,2024-01-26,Active,"62090, 90030","Office 71, 85 Dunstall Hill, Wolverhampton, WV6 0SR, England",England,Yes,,,,LOW,LOW,,,,,,Direct Companies House verification possible from URL fields,https://find-and-update.company-information.service.gov.uk/company/15443979,https://find-and-update.company-information.service.gov.uk/company/15443979/officers,https://find-and-update.company-information.service.gov.uk/company/15443979/filing-history,Companies House URL ready + open.endole.co.uk,opengovuk,,,none,original_or_unresolved,164.0,1.0,False,7.0,5.0,False,False,0.0,no_indicator,none_detected,LOW,71.0,WV6_0SR_high_density_registration_node,True,formation_wave_gap_or_recent_registration_candidate,medium_inference,False,False,False,False,False,False,False,False,False,0.0,NONE
874.0,977,Bhim It Solution Ltd,—,No,,Active,,"Office 977, 85 Dunstall Hill, Wolverhampton, WV6 0SR, England",England,Yes,-,-,-,HIGH,HIGH,,,,,,No valid Companies House number in source row; Address suffix variant: United Kingdom,,,,open.endole.co.uk (no valid company number present),OSINT file,OSINT-listed; Companies House number not yet resolved.,,none,original_or_unresolved,,,False,97.0,9.0,True,False,0.0,no_indicator,none_detected,LOW,977.0,WV6_0SR_high_density_registration_node,True,formation_wave_gap_or_recent_registration_candidate,medium_inference,False,False,False,False,False,False,False,False,False,0.0,NONE
619.0,661,Big Spectrum Promotions Limited,—,No,,Active,,"Office 661, 85 Dunstall Hill, Wolverhampton, WV6 0SR, England",England,Yes,-,-,-,HIGH,HIGH,,,,,,No valid Companies House number in source row; Address suffix variant: United Kingdom,,,,open.endole.co.uk (no valid company number present),OSINT file,OSINT-listed; Companies House number not yet resolved.,,none,original_or_unresolved,,,False,66.0,9.0,True,False,0.0,no_indicator,none_detected,LOW,661.0,WV6_0SR_high_density_registration_node,True,formation_wave_gap_or_recent_registration_candidate,medium_inference,False,False,False,False,False,False,False,False,False,0.0,NONE
467.0,505,Bilal Commerce Ltd,16785687,Yes,2025-10-15,Active,"47910, 47990","Office 505, 85 Dunstall Hill, Wolverhampton, WV6 0SR, England",England,Yes,,,,LOW,LOW,,,,,,Direct Companies House verification possible from URL fields,https://find-and-update.company-information.service.gov.uk/company/16785687,https://find-and-update.company-information.service.gov.uk/company/16785687/officers,https://find-and-update.company-information.service.gov.uk/company/16785687/filing-history,Companies House URL ready + open.endole.co.uk,opengovuk,,,none,original_or_unresolved,86.0,9.0,False,50.0,11.0,False,False,0.0,no_indicator,none_detected,LOW,505.0,WV6_0SR_high_density_registration_node,True,formation_wave_gap_or_recent_registration_candidate,medium_inference,False,False,False,False,False,False,False,False,False,0.0,NONE
448.0,486,Binfaisal Ltd,16758187,Yes,2025-10-02,Active,"59112, 73110, 74100","Office 486, 85 Dunstall Hill, Wolverhampton, WV6 0SR, England",England,Yes,,,,LOW,LOW,,,,,,Direct Companies House verification possible from URL fields,https://find-and-update.company-information.service.gov.uk/company/16758187,https://find-and-update.company-information.service.gov.uk/company/16758187/officers,https://find-and-update.company-information.service.gov.uk/company/16758187/filing-history,Companies House URL ready + open.endole.co.uk,opengovuk,,,none,original_or_unresolved,131.0,1.0,False,48.0,10.0,False,False,0.0,no_indicator,none_detected,LOW,486.0,WV6_0SR_high_density_registration_node,True,formation_wave_gap_or_recent_registration_candidate,medium_inference,False,False,False,False,False,False,False,False,False,0.0,NONE
16.0,15,Bingo Writers Ltd,14966696,Yes,2023-06-28,Active,"47910, 73110","Office 15, 85 Dunstall Hill, Wolverhampton, WV6 0SR, England",England,Yes,,£1,,MEDIUM,MEDIUM,,,,,,Shared office number: 2 entities,https://find-and-update.company-information.service.gov.uk/company/14966696,https://find-and-update.company-information.service.gov.uk/company/14966696/officers,https://find-and-update.company-information.service.gov.uk/company/14966696/filing-history,Companies House URL ready + open.endole.co.uk,opengovuk,,,none,original_or_unresolved,103.0,5.0,False,1.0,12.0,False,False,0.0,no_indicator,none_detected,LOW,15.0,WV6_0SR_high_density_registration_node,True,formation_wave_gap_or_recent_registration_candidate,medium_inference,False,False,False,False,False,False,False,False,False,0.0,NONE
417.0,454,Bitsgroup Tech Ltd,16691940,Yes,2025-09-03,Active,"62020, 62090, 73110","Office 454, 85 Dunstall Hill, Wolverhampton, WV6 0SR, England",England,Yes,,,,LOW,LOW,,,,,,Direct Companies House verification possible from URL fields,https://find-and-update.company-information.service.gov.uk/company/16691940,https://find-and-update.company-information.service.gov.uk/company/16691940/officers,https://find-and-update.company-information.service.gov.uk/company/16691940/filing-history,Companies House URL ready + open.endole.co.uk,opengovuk,,,none,original_or_unresolved,149.0,90.0,False,45.0,10.0,False,False,0.0,no_indicator,none_detected,LOW,454.0,WV6_0SR_high_density_registration_node,True,formation_wave_gap_or_recent_registration_candidate,medium_inference,True,False,False,False,False,False,False,False,False,1.0,LOW
283.0,323,Blenza Ltd,16281899,Yes,2025-02-27,Active,47910,"Office 323, 85 Dunstall Hill, Wolverhampton, WV6 0SR, England",England,Yes,,,,LOW,LOW,,,,,,Direct Companies House verification possible from URL fields,https://find-and-update.company-information.service.gov.uk/company/16281899,https://find-and-update.company-information.service.gov.uk/company/16281899/officers,https://find-and-update.company-information.service.gov.uk/company/16281899/filing-history,Companies House URL ready + open.endole.co.uk,opengovuk,,,none,original_or_unresolved,85.0,97.0,False,32.0,10.0,False,False,0.0,no_indicator,none_detected,LOW,323.0,WV6_0SR_high_density_registration_node,True,formation_wave_gap_or_recent_registration_candidate,medium_inference,False,False,False,False,False,False,False,False,False,0.0,NONE
215.0,252,Blooginga Tech Solution Ltd,16007530,Yes,2024-10-09,Active,"62020, 62090, 73110","Office 252, 85 Dunstall Hill, Wolverhampton, WV6 0SR, England",England,Yes,,,,LOW,LOW,,,,,,Direct Companies House verification possible from URL fields,https://find-and-update.company-information.service.gov.uk/company/16007530,https://find-and-update.company-information.service.gov.uk/company/16007530/officers,https://find-and-update.company-information.service.gov.uk/company/16007530/filing-history,Companies House URL ready + open.endole.co.uk,opengovuk,,,none,original_or_unresolved,149.0,90.0,False,25.0,8.0,False,False,0.0,no_indicator,none_detected,LOW,252.0,WV6_0SR_high_density_registration_node,True,formation_wave_gap_or_recent_registration_candidate,medium_inference,True,False,False,False,False,False,False,False,False,1.0,LOW
894.0,998,Blue Sky Ecom Ltd,17101234,Yes,2026-03-20,Active,47910,"Office 998, 85 Dunstall Hill, Wolverhampton, WV6 0SR, England",England,Yes,,,,MEDIUM,MEDIUM,,,,,,Shared office number: 2 entities,https://find-and-update.company-information.service.gov.uk/company/17101234,https://find-and-update.company-information.service.gov.uk/company/17101234/officers,https://find-and-update.company-information.service.gov.uk/company/17101234/filing-history,Companies House URL ready + open.endole.co.uk,user-provided,Retail via mail order ★ Mar 2026,,none,original_or_unresolved,85.0,97.0,False,99.0,11.0,False,False,0.0,no_indicator,none_detected,LOW,998.0,WV6_0SR_high_density_registration_node,True,formation_wave_gap_or_recent_registration_candidate,medium_inference,False,False,False,False,False,False,False,False,False,0.0,NONE
712.0,760,Bluegate Trading Ltd,—,No,,Active,,"Office 760, 85 Dunstall Hill, Wolverhampton, WV6 0SR, England",England,Yes,-,-,-,HIGH,HIGH,,,,,,No valid Companies House number in source row; Shared office number: 2 entities; Address suffix variant: United Kingdom,,,,open.endole.co.uk (no valid company number present),OSINT file,OSINT-listed; Companies House number not yet resolved.,,none,original_or_unresolved,,,False,76.0,16.0,True,False,0.0,no_indicator,none_detected,LOW,760.0,WV6_0SR_high_density_registration_node,True,formation_wave_gap_or_recent_registration_candidate,medium_inference,False,False,False,True,False,False,False,False,False,1.0,LOW
497.0,531,Bluepeak Trading Ltd,16817127,Yes,2025-10-29,Active,47910,"Office 531, 85 Dunstall Hill, Wolverhampton, WV6 0SR, England",England,Yes,,,,LOW,LOW,,,,,,Direct Companies House verification possible from URL fields,https://find-and-update.company-information.service.gov.uk/company/16817127,https://find-and-update.company-information.service.gov.uk/company/16817127/officers,https://find-and-update.company-information.service.gov.uk/company/16817127/filing-history,Companies House URL ready + open.endole.co.uk,opengovuk,,,none,original_or_unresolved,85.0,97.0,False,53.0,10.0,False,False,0.0,no_indicator,none_detected,LOW,531.0,WV6_0SR_high_density_registration_node,True,formation_wave_gap_or_recent_registration_candidate,medium_inference,False,False,False,True,False,False,False,False,False,1.0,LOW
310.0,347,Bluerock2 Limited,16186384,Yes,2025-01-15,Active,47910,"Office 347, 85 Dunstall Hill, Wolverhampton, WV6 0SR, England",England,Yes,,,,MEDIUM,MEDIUM,,,,,,Shared office number: 5 entities,https://find-and-update.company-information.service.gov.uk/company/16186384,https://find-and-update.company-information.service.gov.uk/company/16186384/officers,https://find-and-update.company-information.service.gov.uk/company/16186384/filing-history,Companies House URL ready + open.endole.co.uk,opengovuk,,,none,original_or_unresolved,85.0,97.0,False,34.0,14.0,False,False,0.0,no_indicator,none_detected,LOW,347.0,WV6_0SR_high_density_registration_node,True,formation_wave_gap_or_recent_registration_candidate,medium_inference,False,False,False,False,False,False,False,False,False,0.0,NONE
761.0,805,BMT Verse Ltd,—,No,,Active,,"Office 805, 85 Dunstall Hill, Wolverhampton, WV6 0SR, England",England,Yes,-,-,-,HIGH,HIGH,,,,,,No valid Companies House number in source row; Address suffix variant: United Kingdom,,,,open.endole.co.uk (no valid company number present),OSINT file,OSINT-listed; Companies House number not yet resolved.,,none,original_or_unresolved,,,False,80.0,9.0,True,False,0.0,no_indicator,none_detected,LOW,805.0,WV6_0SR_high_density_registration_node,True,formation_wave_gap_or_recent_registration_candidate,medium_inference,False,False,False,False,False,False,False,False,False,0.0,NONE
287.0,327,Boosted Backlinks Limited,16308003,Yes,2025-03-11,Active,"62020, 62090, 73110","Office 327, 85 Dunstall Hill, Wolverhampton, WV6 0SR, England",England,Yes,,,,LOW,LOW,,,,,,Direct Companies House verification possible from URL fields,https://find-and-update.company-information.service.gov.uk/company/16308003,https://find-and-update.company-information.service.gov.uk/company/16308003/officers,https://find-and-update.company-information.service.gov.uk/company/16308003/filing-history,Companies House URL ready + open.endole.co.uk,opengovuk,,,none,original_or_unresolved,149.0,90.0,False,32.0,10.0,False,False,0.0,no_indicator,none_detected,LOW,327.0,WV6_0SR_high_density_registration_node,True,formation_wave_gap_or_recent_registration_candidate,medium_inference,False,False,False,False,False,False,False,False,False,0.0,NONE
542.0,576,Box Printify Ltd,16875250,Yes,2025-11-26,Active,"18129, 82920","Office 576, 85 Dunstall Hill, Wolverhampton, WV6 0SR, England",England,Yes,,,,LOW,LOW,,,,,,Direct Companies House verification possible from URL fields,https://find-and-update.company-information.service.gov.uk/company/16875250,https://find-and-update.company-information.service.gov.uk/company/16875250/officers,https://find-and-update.company-information.service.gov.uk/company/16875250/filing-history,Companies House URL ready + open.endole.co.uk,opengovuk ★ Nov 2025,,,none,original_or_unresolved,23.0,1.0,False,57.0,10.0,False,False,0.0,no_indicator,none_detected,LOW,576.0,WV6_0SR_high_density_registration_node,True,formation_wave_gap_or_recent_registration_candidate,medium_inference,False,False,False,False,False,False,False,False,False,0.0,NONE
100.0,129,Bracx Ltd,15674937,Yes,2024-04-24,Active,73110,"Office 129, 85 Dunstall Hill, Wolverhampton, WV6 0SR, England",England,Yes,,"-£11,950",,LOW,LOW,,,,,,Direct Companies House verification possible from URL fields,https://find-and-update.company-information.service.gov.uk/company/15674937,https://find-and-update.company-information.service.gov.uk/company/15674937/officers,https://find-and-update.company-information.service.gov.uk/company/15674937/filing-history,Companies House URL ready + open.endole.co.uk,opengovuk,,,none,original_or_unresolved,180.0,21.0,False,12.0,7.0,False,False,0.0,no_indicator,none_detected,LOW,129.0,WV6_0SR_high_density_registration_node,True,formation_wave_gap_or_recent_registration_candidate,medium_inference,False,False,False,False,False,False,False,False,False,0.0,NONE
484.0,521,Bravewear Ltd,16804480,Yes,2025-10-23,Active,47910,"Office 521, 85 Dunstall Hill, Wolverhampton, WV6 0SR, England",England,Yes,,,,LOW,LOW,,,,,,Direct Companies House verification possible from URL fields,https://find-and-update.company-information.service.gov.uk/company/16804480,https://find-and-update.company-information.service.gov.uk/company/16804480/officers,https://find-and-update.company-information.service.gov.uk/company/16804480/filing-history,Companies House URL ready + open.endole.co.uk,opengovuk,,,none,original_or_unresolved,85.0,97.0,False,52.0,13.0,False,False,0.0,no_indicator,none_detected,LOW,521.0,WV6_0SR_high_density_registration_node,True,formation_wave_gap_or_recent_registration_candidate,medium_inference,False,False,False,False,False,False,False,False,False,0.0,NONE
99.0,128,Braxleather Ltd,15674909,Yes,2024-04-24,Active,47722,"Office 128, 85 Dunstall Hill, Wolverhampton, WV6 0SR, England",England,Yes,,,,LOW,LOW,,,,,,Direct Companies House verification possible from URL fields,https://find-and-update.company-information.service.gov.uk/company/15674909,https://find-and-update.company-information.service.gov.uk/company/15674909/officers,https://find-and-update.company-information.service.gov.uk/company/15674909/filing-history,Companies House URL ready + open.endole.co.uk,opengovuk,,,none,original_or_unresolved,78.0,1.0,False,12.0,7.0,False,False,0.0,no_indicator,none_detected,LOW,128.0,WV6_0SR_high_density_registration_node,True,formation_wave_gap_or_recent_registration_candidate,medium_inference,False,False,False,False,False,False,False,False,False,0.0,NONE
910.0,UNRESOLVED,Breakloo Holdings Limited,—,No,,Active,,"85 Dunstall Hill, Wolverhampton, WV6 0SR, England",England,Yes,-,-,-,HIGH,HIGH,,,,,,No valid Companies House number in source row; Office number not parsed from source,,,,open.endole.co.uk (no valid company number present),OSINT file,OSINT-listed; Companies House number not yet resolved.,,none,original_or_unresolved,,,False,,,False,False,0.0,no_indicator,none_detected,LOW,,WV6_0SR_high_density_registration_node,True,formation_wave_gap_or_recent_registration_candidate,medium_inference,False,False,False,False,False,False,False,False,False,0.0,NONE
666.0,712,Brenvalist Ltd,—,No,,Active,,"Office 712, 85 Dunstall Hill, Wolverhampton, WV6 0SR, England",England,Yes,-,-,-,HIGH,HIGH,,,,,,No valid Companies House number in source row; Address suffix variant: United Kingdom,,,,open.endole.co.uk (no valid company number present),OSINT file,OSINT-listed; Companies House number not yet resolved.,,none,original_or_unresolved,,,False,71.0,10.0,True,False,0.0,no_indicator,none_detected,LOW,712.0,WV6_0SR_high_density_registration_node,True,formation_wave_gap_or_recent_registration_candidate,medium_inference,False,False,False,False,False,False,False,False,False,0.0,NONE
769.0,813,Brenzilo Ltd,—,No,,Active,,"Office 813, 85 Dunstall Hill, Wolverhampton, WV6 0SR, England",England,Yes,-,-,-,HIGH,HIGH,,,,,,No valid Companies House number in source row; Address suffix variant: WV6 0SR,,,,open.endole.co.uk (no valid company number present),OSINT file,OSINT-listed; Companies House number not yet resolved.,,none,original_or_unresolved,,,False,81.0,10.0,True,False,0.0,no_indicator,none_detected,LOW,813.0,WV6_0SR_high_density_registration_node,True,formation_wave_gap_or_recent_registration_candidate,medium_inference,False,False,False,False,False,False,False,False,False,0.0,NONE
421.0,458,Bright Era Ltd,16691836,Yes,2025-09-03,Active,"73110, 73120","Office 458, 85 Dunstall Hill, Wolverhampton, WV6 0SR, England",England,Yes,,,,LOW,LOW,,,,,,Direct Companies House verification possible from URL fields,https://find-and-update.company-information.service.gov.uk/company/16691836,https://find-and-update.company-information.service.gov.uk/company/16691836/officers,https://find-and-update.company-information.service.gov.uk/company/16691836/filing-history,Companies House URL ready + open.endole.co.uk,opengovuk,,,none,original_or_unresolved,181.0,2.0,False,45.0,10.0,False,False,0.0,no_indicator,none_detected,LOW,458.0,WV6_0SR_high_density_registration_node,True,formation_wave_gap_or_recent_registration_candidate,medium_inference,False,False,False,False,False,False,False,False,False,0.0,NONE
274.0,314,Bright Tech Services Limited,16232166,Yes,2025-02-05,Active,"62020, 62090, 73110","Office 314, 85 Dunstall Hill, Wolverhampton, WV6 0SR, England",England,Yes,,,,LOW,LOW,,,,,,Direct Companies House verification possible from URL fields,https://find-and-update.company-information.service.gov.uk/company/16232166,https://find-and-update.company-information.service.gov.uk/company/16232166/officers,https://find-and-update.company-information.service.gov.uk/company/16232166/filing-history,Companies House URL ready + open.endole.co.uk,opengovuk,,,none,original_or_unresolved,149.0,90.0,False,31.0,10.0,False,False,0.0,no_indicator,none_detected,LOW,314.0,WV6_0SR_high_density_registration_node,True,formation_wave_gap_or_recent_registration_candidate,medium_inference,True,False,False,False,False,False,False,False,False,1.0,LOW
